epoch,total_epochs,step,steps_per_epoch,global_step,lr,time_val,time_avg,loss_val,loss_avg,grad_val,grad_avg,mem_mb,num_ranks_used
15,100,500,823,12845,0.007073,1.44435,1.4433,0.35314999999999996,0.34809999999999997,0.0555,0.0631,18757.0,2
15,100,600,823,12945,0.007128,1.4424,1.4433,0.3348,0.34775,0.043,0.0625,18757.0,2
15,100,700,823,13045,0.007183,1.44325,1.4431,0.3456,0.3476,0.0922,0.0625,18757.0,2
15,100,800,823,13145,0.007238,1.4419499999999998,1.4431,0.3502,0.3473,0.0324,0.0622,18757.0,2
16,100,0,823,13168,0.00725,1.9292,1.9292,0.34165,0.34165,0.042,0.042,18757.0,2
16,100,100,823,13268,0.007305,1.4451,1.4473,0.3348,0.34775,0.0616,0.0626,18757.0,2
16,100,200,823,13368,0.00736,1.44605,1.4458,0.33704999999999996,0.34724999999999995,0.075,0.063,18757.0,2
16,100,300,823,13468,0.007416,1.44345,1.4451,0.33530000000000004,0.347,0.0739,0.0625,18757.0,2
16,100,400,823,13568,0.007471,1.4428,1.4447,0.34445000000000003,0.34709999999999996,0.0537,0.0629,18757.0,2
16,100,500,823,13668,0.007526,1.4421499999999998,1.4443,0.3396,0.3472,0.0527,0.062,18757.0,2
16,100,600,823,13768,0.007581,1.4434,1.444,0.3415,0.34715,0.058,0.0625,18757.0,2
16,100,700,823,13868,0.007636,1.4444499999999998,1.4441,0.3247,0.34735,0.0517,0.0621,18757.0,2
16,100,800,823,13968,0.007691,1.4455,1.4441,0.3426,0.3473,0.0475,0.0626,18757.0,2
17,100,0,823,13991,0.007703,1.95755,1.95755,0.34440000000000004,0.34440000000000004,0.0937,0.0937,18757.0,2
17,100,100,823,14091,0.007758,1.44555,1.4485,0.35075,0.34509999999999996,0.0592,0.0618,18757.0,2
17,100,200,823,14191,0.007813,1.4457,1.4466,0.33835,0.3467,0.1448,0.0612,18757.0,2
17,100,300,823,14291,0.007869,1.44705,1.4466,0.3418,0.34765,0.0733,0.0731,18757.0,2
17,100,400,823,14391,0.007924,1.4457499999999999,1.4466,0.36605,0.3484,0.0544,0.0691,18757.0,2
17,100,500,823,14491,0.007979,1.4426,1.4462,0.351,0.3484,0.0316,0.067,18757.0,2
17,100,600,823,14591,0.008034,1.4432,1.4457,0.34355,0.34850000000000003,0.0415,0.0657,18757.0,2
17,100,700,823,14691,0.008089,1.4402499999999998,1.4451,0.355,0.34875,0.0752,0.067,18757.0,2
17,100,800,823,14791,0.008144,1.4363,1.4441,0.3519,0.34909999999999997,0.0259,0.0668,18757.0,2
18,100,0,823,14814,0.008156,1.87795,1.87795,0.35945,0.35945,0.0412,0.0412,18757.0,2
18,100,100,823,14914,0.008211,1.43505,1.4406,0.35950000000000004,0.35125,0.0484,0.058,18757.0,2
18,100,200,823,15014,0.008267,1.4309,1.4383,0.3479,0.35155000000000003,0.0976,0.0604,18757.0,2
18,100,300,823,15114,0.008322,1.4306,1.4357,0.35514999999999997,0.35145000000000004,0.0595,0.0597,18757.0,2
18,100,400,823,15214,0.008377,1.43085,1.4345,0.34655,0.3514,0.043,0.0583,18757.0,2
18,100,500,823,15314,0.008432,1.43335,1.4341,0.35309999999999997,0.35135,0.0749,0.059,18757.0,2
18,100,600,823,15414,0.008487,1.4313,1.4336,0.3506,0.35124999999999995,0.0614,0.0584,18757.0,2
18,100,700,823,15514,0.008542,1.4335,1.4334,0.33195,0.35095,0.0507,0.0573,18757.0,2
18,100,800,823,15614,0.008597,1.43295,1.4332,0.34325,0.35065,0.0767,0.0564,18757.0,2
19,100,0,823,15637,0.008609,1.92855,1.92855,0.34940000000000004,0.34940000000000004,0.0809,0.0809,18757.0,2
19,100,100,823,15737,0.008665,1.4328500000000002,1.4389,0.3518,0.34745000000000004,0.046,0.0523,18757.0,2
19,100,200,823,15837,0.00872,1.4353,1.4372,0.3337,0.34809999999999997,0.0318,0.0513,18757.0,2
19,100,300,823,15937,0.008775,1.4361,1.4366,0.35095,0.34804999999999997,0.0588,0.0514,18757.0,2
19,100,400,823,16037,0.00883,1.436,1.4363,0.35119999999999996,0.34845000000000004,0.0577,0.052,18757.0,2
19,100,500,823,16137,0.008885,1.4358499999999998,1.4362,0.34865,0.34875,0.047,0.0522,18757.0,2
19,100,600,823,16237,0.00894,1.4337499999999999,1.436,0.34775,0.349,0.037,0.0518,18757.0,2
19,100,700,823,16337,0.008995,1.4339499999999998,1.4359,0.35975,0.34885,0.0602,0.0516,18757.0,2
19,100,800,823,16437,0.00905,1.4362499999999998,1.4357,0.37075,0.3488,0.03,0.0518,18757.0,2
20,100,0,823,16460,0.008197,1.8887999999999998,1.8887999999999998,0.33940000000000003,0.33940000000000003,0.049,0.049,18757.0,2
20,100,100,823,16560,0.008187,1.4368500000000002,1.43905,0.34909999999999997,0.34909999999999997,0.0442,0.0507,18757.0,2
20,100,200,823,16660,0.008177,1.43655,1.4373,0.35509999999999997,0.34965,0.0619,0.0505,18757.0,2
20,100,300,823,16760,0.008167,1.4365999999999999,1.4366,0.3546,0.35014999999999996,0.0586,0.0515,18757.0,2
20,100,400,823,16860,0.008156,1.43245,1.4365,0.37625,0.35075,0.0675,0.0559,18757.0,2
20,100,500,823,16960,0.008146,1.4334500000000001,1.436,0.3569,0.35119999999999996,0.0308,0.0545,18757.0,2
20,100,600,823,17060,0.008135,1.4343499999999998,1.4356,0.35405,0.3513,0.0658,0.0565,18757.0,2
20,100,700,823,17160,0.008125,1.4353500000000001,1.4355,0.34025,0.35135,0.4677,0.0567,18757.0,2
20,100,800,823,17260,0.008114,1.43405,1.4353,0.34085,0.3512,0.0388,0.0564,18757.0,2
21,100,0,823,17283,0.008112,1.964,1.964,0.3328,0.3328,0.0518,0.0518,18757.0,2
21,100,100,823,17383,0.008101,1.43505,1.439,0.36145,0.34995,0.0505,0.0715,18757.0,2
21,100,200,823,17483,0.008091,1.4375499999999999,1.4373,0.35865,0.35055000000000003,0.0839,0.0623,18757.0,2
21,100,300,823,17583,0.00808,1.4372500000000001,1.437,0.35575,0.35005,0.0988,0.0585,18757.0,2
21,100,400,823,17683,0.008069,1.4322,1.4365,0.33545,0.34955,0.054,0.0568,18757.0,2
21,100,500,823,17783,0.008058,1.43555,1.4364,0.36895,0.34914999999999996,0.0595,0.0547,18757.0,2
21,100,600,823,17883,0.008047,1.4341499999999998,1.4363,0.35860000000000003,0.34885,0.0587,0.053,18757.0,2
