epoch,total_epochs,step,steps_per_epoch,global_step,lr,time_val,time_avg,loss_val,loss_avg,grad_val,grad_avg,mem_mb,num_ranks_used
9,100,100,823,7507,0.000662,1.4558,1.4618,0.8388,0.8383499999999999,0.0863,0.0377,18670.0,2
9,100,200,823,7607,0.00067,1.4566,1.4591,0.83475,0.837,0.1547,0.0526,18670.0,2
9,100,300,823,7707,0.000679,1.4553,1.4581,0.8382000000000001,0.83785,0.0152,0.1045,18670.0,2
9,100,400,823,7807,0.000688,1.4564,1.4575,0.83555,0.838,0.0143,0.0893,18670.0,2
9,100,500,823,7907,0.000697,1.4572,1.4574,0.83135,0.83775,0.1758,0.0914,18670.0,2
9,100,600,823,8007,0.000705,1.4535,1.4573,0.8245,0.8359,0.0779,0.1276,18670.0,2
9,100,700,823,8107,0.000714,1.4594,1.4572,0.6343,0.82255,0.2159,0.1749,18670.0,2
9,100,800,823,8207,0.000723,1.4562,1.4573,0.5466,0.793,0.1315,0.1756,18670.0,2
10,100,0,823,8230,0.000725,2.0002500000000003,2.0002500000000003,0.52475,0.52475,0.1998,0.1998,18670.0,2
10,100,100,823,8330,0.000725,1.459,1.4637,0.4862,0.5005,0.1436,0.1863,18670.0,2
10,100,200,823,8430,0.000725,1.4589,1.4614,0.46165,0.48805,0.0951,0.1857,18670.0,2
10,100,300,823,8530,0.000725,1.4585,1.4604,0.44020000000000004,0.47855000000000003,0.2296,0.1861,18670.0,2
10,100,400,823,8630,0.000725,1.4571,1.4597,0.45735000000000003,0.47209999999999996,0.1506,0.1897,18670.0,2
10,100,500,823,8730,0.000725,1.4592,1.4595,0.44255,0.46645000000000003,0.2036,0.1896,18670.0,2
10,100,600,823,8830,0.000725,1.4601,1.4594,0.43085,0.46175,0.1568,0.191,18670.0,2
10,100,700,823,8930,0.000725,1.4593,1.4594,0.42285,0.4585,0.193,0.1929,18670.0,2
10,100,800,823,9030,0.000725,1.45945,1.4594,0.40159999999999996,0.45375,0.0695,0.1943,18670.0,2
11,100,0,823,9053,0.000725,2.58995,2.58995,0.40695,0.40695,0.1579,0.1579,18670.0,2
11,100,100,823,9153,0.000725,1.4601,1.4703499999999998,0.39705,0.4058,0.1108,0.2054,18670.0,2
11,100,200,823,9253,0.000725,1.4591,1.4649999999999999,0.39885,0.40325,0.0824,0.2104,18670.0,2
11,100,300,823,9353,0.000725,1.4593,1.4631500000000002,0.40175,0.40115,0.135,0.2151,18670.0,2
11,100,400,823,9453,0.000725,1.4593,1.46225,0.3816,0.39754999999999996,0.1804,0.2037,18670.0,2
11,100,500,823,9553,0.000725,1.4599,1.4617499999999999,0.37039999999999995,0.3937,0.1005,0.1998,18670.0,2
11,100,600,823,9653,0.000725,1.4597,1.46135,0.36895,0.3896,0.188,0.198,18670.0,2
11,100,700,823,9753,0.000725,1.4603,1.4611,0.36305,0.3858,0.1724,0.1979,18670.0,2
11,100,800,823,9853,0.000725,1.4599,1.4609,0.36424999999999996,0.3822,0.1479,0.195,18670.0,2
12,100,0,823,9876,0.000725,2.05835,2.05835,0.36005,0.36005,0.1866,0.1866,18670.0,2
12,100,100,823,9976,0.000725,1.4593,1.4654,0.3538,0.35050000000000003,0.1537,0.1901,18670.0,2
12,100,200,823,10076,0.000725,1.459,1.4625,0.33185,0.34545000000000003,0.2406,0.1923,18670.0,2
12,100,300,823,10176,0.000725,1.4603,1.4615,0.33555,0.3398,0.4183,0.1914,18670.0,2
12,100,400,823,10276,0.000725,1.4593,1.461,0.3113,0.3345,0.2317,0.1908,18670.0,2
12,100,500,823,10376,0.000725,1.4597,1.4607,0.30835,0.32995,0.1721,0.1969,18670.0,2
12,100,600,823,10476,0.000725,1.4591,1.4605,0.29885,0.3256,0.2012,0.1959,18670.0,2
12,100,700,823,10576,0.000725,1.4628,1.4606,0.2937,0.3218,0.122,0.1989,18670.0,2
12,100,800,823,10676,0.000725,1.4611,1.4607,0.29235,0.3183,0.168,0.1963,18670.0,2
13,100,0,823,10699,0.000725,2.05915,2.05915,0.28525,0.28525,0.2569,0.2569,18670.0,2
13,100,100,823,10799,0.000725,1.4595,1.4656,0.2783,0.2901,0.1738,0.2138,18670.0,2
13,100,200,823,10899,0.000725,1.4596,1.4626,0.27805,0.28705,0.1654,0.1924,18670.0,2
13,100,300,823,10999,0.000725,1.4599,1.4616,0.27875,0.28464999999999996,0.1992,0.1805,18670.0,2
13,100,400,823,11099,0.000725,1.4602,1.4611,0.28025,0.28264999999999996,0.3308,0.1804,18670.0,2
13,100,500,823,11199,0.000725,1.4586,1.4608,0.27315,0.28075,0.1199,0.1801,18670.0,2
13,100,600,823,11299,0.000725,1.4599,1.4606,0.26645,0.279,0.189,0.1772,18670.0,2
13,100,700,823,11399,0.000725,1.4583,1.4604,0.2611,0.27735,0.1747,0.1764,18670.0,2
13,100,800,823,11499,0.000725,1.4602499999999998,1.4603,0.26595,0.27565,0.1772,0.1736,18670.0,2
14,100,0,823,11522,0.000725,2.03415,2.03415,0.26155,0.26155,0.1793,0.1793,18670.0,2
14,100,100,823,11622,0.000725,1.4595,1.4652500000000002,0.26134999999999997,0.26139999999999997,0.1299,0.1553,18670.0,2
14,100,200,823,11722,0.000725,1.4607,1.4625,0.2579,0.2603,0.1049,0.153,18670.0,2
14,100,300,823,11822,0.000725,1.4595,1.4616,0.25565,0.2589,0.1431,0.1558,18670.0,2
14,100,400,823,11922,0.000725,1.4597,1.4611,0.2602,0.25765,0.1448,0.1521,18670.0,2
14,100,500,823,12022,0.000725,1.4625,1.4612,0.24975000000000003,0.25655,0.0976,0.15,18670.0,2
14,100,600,823,12122,0.000725,1.4632,1.4614,0.256,0.2555,0.4033,0.1472,18670.0,2
14,100,700,823,12222,0.000725,1.4606,1.4614,0.247,0.2548,0.2564,0.1473,18670.0,2
14,100,800,823,12322,0.000725,1.4591,1.4612,0.24945,0.25385,0.0979,0.1453,18670.0,2
